Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
195,1.73192500000005,14,100,15,4
45,2.82761060001212,53,100,15,4
123,2.26689940001233,113,0,0,4
23,1.76235920001636,43,50,-15,4
110,2.78546859999187,112,50,0,4
51,1.80801780000911,53,100,15,4
143,3.48747150000418,129,100,-30,4
9,2.5028698000242,12,100,-5,4
24,2.39024590002373,23,0,0,4
43,2.5899267999921,31,50,5,4
96,3.0447850000055,103,100,-5,4
161,2.25207290000981,162,50,0,4
38,1.9315818999894,36,50,0,4
46,2.18711780000012,56,0,0,4
30,1.85014230001252,25,0,0,4
87,2.44895229997928,83,0,0,4
50,2.03252790000988,42,50,30,4
160,2.41572270001052,161,100,15,4
86,3.66323160001775,82,100,-30,4
81,2.31055650001508,67,50,-15,4
101,2.20520399999805,96,50,15,4
20,2.1806571999914,14,100,15,4
85,1.84423859999515,81,0,0,4
36,3.53908240000601,44,100,15,4
30,3.2026240999985,42,100,-5,4
97,2.40950589999557,96,50,0,4
112,2.86492839999846,108,0,0,4
161,1.57646179999574,158,100,30,4
170,4.07165290002013,175,100,15,4
170,3.02331480002613,172,0,0,4
82,2.92568430001847,66,100,30,4
278,3.56534159998409,102,100,-15,4
120,2.51641250000102,134,50,0,4
122,2.16375409998,131,100,-30,4
157,2.2674811000179,152,50,15,4
161,1.47403240000131,158,100,30,4
8,3.28950019998592,13,50,-5,4
173,2.15246240000124,175,100,30,4
142,3.95164099999238,132,50,-5,4
38,4.34333869998227,45,100,-15,4
68,1.79023829998914,59,0,0,4
48,1.65337429998908,37,50,0,4
42,2.54878020001343,39,50,0,4
36,2.32440169999609,44,0,0,4
10,3.23523950000526,13,0,0,4
155,2.28246509999735,122,0,0,4
27,2.04984089999925,30,0,0,4
154,1.52139629999874,160,50,0,4
101,1.54416679998394,99,50,15,4
22,2.62251050001942,24,100,15,5
155,2.62979020000785,159,100,-5,5
100,1.98881050001364,108,0,0,5
11,1.60433329999796,13,100,-5,5
164,2.49182749999454,164,50,5,5
11,2.17135459999554,9,100,-15,5
14,1.51475549998577,5,50,-30,5
125,3.45719350001309,151,100,15,5
143,2.13691119998111,151,50,0,5
108,1.47188389999792,124,50,0,5
156,4.16760759998579,151,100,-15,5
107,2.06272740001441,114,100,30,5
105,2.02982560000964,114,100,30,5
62,3.25276200001827,47,50,-15,5
146,1.78034999998636,147,100,5,5
66,1.95571430001291,54,100,5,5
104,2.68348340000375,106,0,0,5
115,2.21804249999695,127,0,0,5
176,1.601387600007,172,0,0,5
17,1.48851749999449,14,100,5,5
38,1.74440320002032,42,50,0,5
98,1.67891119999695,97,50,30,5
172,2.63812930000131,169,0,0,5
144,2.34150889999,154,0,0,5
83,2.66115629998967,82,100,-30,5
73,2.08436120001716,66,50,0,5
36,2.02657240000553,34,100,-30,5
32,3.2902127999987,36,100,5,5
112,2.6659423999954,108,100,5,5
168,2.66492909999215,171,50,30,5
152,2.72884090000298,144,100,-5,5
39,2.07098530000076,32,50,5,5
158,2.02280350000365,159,50,30,5
170,3.09443779999856,175,100,15,5
148,2.16549230000237,154,0,0,5
65,2.92478260002099,44,0,0,5
171,2.81951960001606,175,50,0,5
108,1.72308790002717,117,50,0,5
28,2.13036280000233,34,0,0,5
159,2.4017021000036,161,50,-5,5
81,2.82526489999145,75,100,-30,5
34,1.92818899999838,34,50,0,5
171,2.21528910001507,172,0,0,5
25,1.93425500000012,26,50,0,5
100,2.19815469998866,97,0,0,5
106,2.85294520002208,117,50,-5,5
39,2.59642399998847,57,0,0,5
50,2.25177630002145,53,0,0,5
28,2.48273150000023,42,50,-5,5
163,1.41837150001084,163,100,-15,5
81,2.23383480001939,74,0,0,5
84,2.88031239999691,76,100,-15,5
86,2.42355120001594,84,100,5,5
150,2.79941529998905,153,50,-5,5
34,4.5745287000027,42,100,5,5
157,2.06993930001045,149,0,0,5
26,2.62044349999633,19,100,15,5
83,2.42014470000868,79,50,0,5
162,2.46729249999044,160,100,5,5
113,1.76291360001778,111,0,0,5
139,1.77832660000422,148,50,0,5
59,2.38469430000987,65,0,0,5
177,2.68831399999908,174,50,0,5
117,2.55928079999285,118,100,-30,5
166,1.91913460000069,165,0,0,5
32,3.80639589999919,30,0,0,5
151,2.73290590001852,154,50,-5,5
128,4.2206431000086,118,0,0,5
81,2.57191880000755,78,50,15,5
10,3.13118539997959,13,50,0,5
67,2.12234729999909,60,0,0,5
52,2.43366169999354,44,0,0,5
82,2.96048639999935,82,0,0,5
49,1.97633679999853,44,100,15,5
158,2.50371059999452,159,50,0,5
41,2.55855250000604,43,50,0,5
88,1.99766530000488,83,100,-15,5
45,2.25312730000587,34,0,0,5
141,3.44448160001775,121,50,0,5
43,2.30767989999731,50,0,0,5
259,2.93895680000423,75,100,15,5
100,1.60991530001047,100,100,15,5
164,2.72902379999869,170,50,0,5
41,1.97666540002683,44,50,0,5
33,2.93612339999527,29,0,0,5
149,2.23870250000618,131,0,0,5
132,2.09407230000943,129,50,0,5
126,1.64562709999154,109,100,30,5
111,1.56433510000352,105,0,0,5
100,2.78799380001146,97,100,-30,5
156,2.40298240000266,142,50,0,5
166,1.64235730000655,156,0,0,5
104,3.60141259999364,104,50,5,5
38,3.26510200000484,50,50,0,5
73,2.25633910001488,68,0,0,5
85,2.383302000002,80,50,5,5
162,2.40615130000515,148,100,-5,5
59,3.34961180001847,54,100,5,5
21,2.38949190001586,36,50,5,5
140,4.06082240000251,133,0,0,5
44,3.0511678000039,71,0,0,5
170,2.89867360002245,159,100,30,5
147,3.08226579998154,141,100,5,5
73,2.81740759999957,53,100,30,5
32,2.4403270999901,28,50,0,5
148,3.06382589999703,147,100,5,5
78,2.04731970001012,70,0,0,5
38,2.14210980001371,44,0,0,5
43,3.01398660000996,34,0,0,5
160,1.63684659998398,162,100,15,5
26,3.33987119997619,44,100,-30,5
52,2.09925430000294,47,50,5,5
119,3.04265839999425,126,0,0,5
52,1.52190500000142,53,100,-5,5
79,2.78551079999306,78,50,0,5
169,3.06393579998985,175,100,30,5
119,4.33574169999338,110,50,0,5
100,3.84654090000549,100,0,0,5
83,3.15796750001027,85,100,-15,5
159,3.09327399998438,150,100,30,5
85,2.26049139999668,84,50,-15,5
78,2.69987149999361,74,0,0,5
116,3.89943530000164,111,0,0,5
124,2.25851169999805,118,100,-30,5
164,3.33777589999954,164,0,0,5
9,2.36845070001436,7,100,-15,5
147,2.40820609999355,129,50,30,5
42,2.63157800000045,28,50,15,5
15,2.15892560000066,19,0,0,5
84,4.18219469999894,72,100,-30,5
23,1.24504650000017,25,0,0,5
135,2.02826990000904,133,0,0,5
80,2.69145820001722,77,50,0,5
17,2.69915669999318,24,100,-30,5
72,1.69795200001681,73,0,0,5
203,2.06492940001772,25,50,5,5
86,3.31231139998999,80,0,0,5
171,2.36789200000931,167,0,0,5
164,2.63114300000598,162,0,0,5
165,2.77371910001966,163,100,5,5
123,2.17376760000479,129,50,15,5
85,2.06046259999857,85,50,5,5
30,1.80354309998802,29,0,0,5
123,3.49983839999186,112,50,5,5
167,2.24875600001542,169,100,-30,6
43,2.31237489997875,34,0,0,6
158,2.91859129999648,146,50,5,6
144,2.15076689998386,148,50,-15,6
66,1.82160930000828,50,50,0,6
52,1.79713549997541,42,100,5,6
137,2.22872990000178,123,0,0,6
165,2.63551239998196,158,100,-30,6
34,1.14689350000117,32,50,0,6
32,3.20223530000658,23,50,0,6
27,2.45737269998062,34,0,0,6
158,1.83302749998984,144,0,0,6
69,3.02387889998499,57,0,0,6
71,2.31133669998962,49,0,0,6
33,1.67044230000465,33,100,-30,6
175,2.50979449998704,172,50,-30,6
140,3.55743159999838,137,100,30,6
16,3.02013430002262,9,0,0,6
77,2.55555129999993,68,0,0,6
107,2.63466589999734,109,0,0,6
76,2.06628699999419,71,0,0,6
125,2.90566029999172,111,50,-30,6
66,2.4723255999852,71,0,0,6
170,1.61549890000606,164,50,0,6
14,1.61541500000749,25,100,-30,6
170,2.47828959999606,169,100,-30,6
135,2.89345040000626,128,0,0,6
54,1.67668319999939,55,100,-5,6
173,1.98791429999983,170,100,-5,6
163,3.38755859999219,157,50,0,6
15,2.69893109999248,19,100,15,6
138,2.40940279999631,129,50,0,6
85,2.05650030000834,80,100,15,6
14,2.22386589998496,18,0,0,6
159,3.68753819999984,158,0,0,6
116,2.40686260000803,113,50,0,6
162,1.90988940000534,157,0,0,6
154,2.02118429998518,151,100,15,6
84,2.49246929999208,80,100,30,6
